,UBICAZIONE ATTRAVERSAMENTO,Flusso,Incidenti,N. SEGNALAZIONI,1) dopo una curva,2) su rettilineo,3) su strada in pendenza,4) v ≤50 km/h,5) v  > 50 km/h,6) lontano da fonti di illuminazione ,7) su viale alberato,8) in prospicienza di elementi schermanti ,lat,lon,VALORE PRIORITA',5) v  > 50 km/h,VALORE PRIORITA\'
41,TORTI CIV. 37,1.0,7.0,2.0,,1.0,,1.0,,,,,44.40705413698174,8.964389730155634,12.8,,
42,TUTTI GLI ATTRAVERSAMENTI CON FREQUENZA DI INCIDENTALITA' DEL MUNICIPIO,,0.0,1.0,,,,,,,,,44.43773436757292,8.895961856396966,0.75,,
43,VEZZANI 66R,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,44.49773171851106,8.904135938543265,9.75,,
44,VIA ANFOSSI 204 R,1.0,0.0,1.0,,,,1.0,,,,1.0,44.429455794287975,8.755175868207598,5.95,,
45,VIA BUFFA,,0.0,1.0,,,,,,,,,44.41172177125967,8.99014077915377,0.75,,
46,VIA CADIGHIARA 37A,1.0,0.0,1.0,1.0,,,1.0,,,,,44.412095,8.990568,5.95,,
47,VIA CADIGHIARA altezza VIA ORIGONI,1.0,0.0,1.0,1.0,,1.0,1.0,,,,,44.441052,8.742322,7.75,,
48,VIA CARNOLI,,0.0,1.0,,,,,,,,,44.399915,8.959451,0.75,,
49,VIA DEI FRANZONE,1.0,4.0,1.0,,,,1.0,,,,1.0,44.50391,8.906736,9.95,,
50,Via Gallino altezza civico 60R,1.0,0.0,1.0,1.0,,1.0,1.0,,,,1.0,44.454989,8.899397,11.35,,
51,Via Giro del Vento incrocio con via Reta;,1.0,2.0,1.0,,,1.0,1.0,,,,,44.45152,8.905294,6.15,,
52,Via Maritano due attraversamenti prima e dopo il voltino dell’autostrada;,1.0,0.0,1.0,1.0,,,1.0,,,,,44.4523927837946,8.89926768678855,5.95,,
53,Via San Quirico altezza Poste;,1.0,0.0,1.0,,1.0,,1.0,,,,,44.48691149694989,8.9003462801012,5.05,,
54,Via 5 maggio alt. 35A,2.0,1.0,3.0,,1.0,,1.0,,,,1.0,44.39189129081067,8.986645170767222,11.85,,
55,Via Pisa/Via G. Bruno,2.0,0.0,1.0,,1.0,,1.0,,,,,44.39599397171092,8.97323356336279,5.75,,
56,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 1 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.42467569020354,8.915416911228439,5.95,,
57,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 2 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.42415545176434,8.916121031741017,5.95,,
58,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 3 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.4235676819186,8.916369696936425,5.95,,
59,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 4 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.423166781594986,8.916424911919034,5.95,,
60,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 5 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.42272558233523,8.916501459016065,5.95,,
61,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 6 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.42220226513286,8.916587078483674,5.95,,
62,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 7 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.421632703693625,8.916690625466506,5.95,,
63,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 8 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.421303448272006,8.916756263789038,5.95,,
64,VIA BARI 30 ROSSO (tratto dalla Pam alla fermata della funicolare di Granarolo 9 di 9 ATTRAVERSAMENTI TOTALI),1.0,0.0,1.0,,,,1.0,,,,1.0,44.42101230336522,8.916792022837003,5.95,,
65,Via Puccini (attraversamenti in prossimità Fincantieri),1.0,0.0,1.0,1.0,,,1.0,,,,,44.42351295740251,8.844685750936113,5.95,,
66,Via Soliman (attraversamenti in prossimità Fincantieri) 1 di 2,1.0,0.0,1.0,1.0,,,1.0,,,1.0,,44.42419075638241,8.844035353214732,10.45,,
67,VIA ENRICO TOTI 1r altezza piazzale Parenzo (altezza croce verde) ,2.0,0.0,1.0,,1.0,,1.0,,,,,44.42355947752941,8.948517666120344,5.75,,
68,Attraversamenti in San Martino (non specificati),,0.0,1.0,,,,,,,,,,,0.75,,
69,Semaforo pedonale Via Perlasca-Via 30 Giugno altezza passerella 14 agosto 2018 (di cantiere?),,0.0,1.0,,,,,,,,,44.427452,8.88823,0.75,,
70,VIA CAMPOMORONE 119,1.0,1.0,1.0,1.0,,,1.0,,,,,44.50634897070724,8.895375136813477,6.95,,
71,Via Giovanni Amendola 1,,0.0,1.0,,1.0,,1.0,,,,,44.394405,8.9524,4.35,,
72,Via Felice Maritano 12,1.0,0.0,1.0,1.0,,,1.0,,,,,44.453058,8.897151,5.95,,
73,Via Oreste De Gasperi altezza farmacia S.Giorgio,2.0,0.0,1.0,,,,,,,,,44.392846,8.970406,2.15,,
1578,1469641210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4134021,8.8885806,,0.0,0.0
2225,1875104578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.3835954,9.0473236,,0.0,0.0
2432,2834101306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4075961,8.9640725,,0.0,0.0
3643,9582592212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4933712,8.9035313,,0.0,0.0
1959,1675021610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4993455,8.9028524,,0.0,0.0
900,895904167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4010917,8.9397223,,0.0,0.0
1175,1226194221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4084706,8.9374215,,0.0,0.0
512,275781055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4316482,8.758447,,0.0,0.0
3238,8100198987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.3976914,8.9395882,,0.0,0.0
3606,9286068104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4045942,8.947687,,0.0,0.0
3289,8388500844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.3975507,8.9469075,,0.0,0.0
1290,1370017077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,44.4608702,8.9020392,,0.0,0.0
